Leistungswerte in kW für Haushalt  (ohne Dynamisierung),,,,,,,,,,
"Die in der Tabelle H0-kW angegebenen 1/4 h Leistungswerte in kW sind je Tag (Werktag, Samstag, Sonntag) mit dem zum jeweiligen Datum zugehörigen Tagesfaktor zu multiplizieren.",,,,,,,,,,
H0,,Übergangsperiode,,,Sommermonate,,,Wintermonate,,
,,( 21.3. - 14.5.  und  15.9 - 31.10. ),,,( 15.5 - 14.9. ),,,( 1.11. - 20.3. ),,
Uhrzeit,Zeitraum,Werktage,Samstag,Sonntag,Werktage,Samstag,Sonntag,Werktage,Samstag,Sonntag
0:00,00:00 - 00:15,"0,07780","0,08020","0,09340","0,08630","0,08980","0,10010","0,06760","0,07080","0,08750"
0:15,00:15 - 00:30,"0,06960","0,07510","0,08680","0,07690","0,08490","0,09250","0,06080","0,06820","0,08110"
0:30,00:30 - 00:45,"0,06240","0,07070","0,08120","0,06880","0,08070","0,08590","0,05490","0,06590","0,07500"
0:45,00:45 - 01:00,"0,05660","0,06660","0,07570","0,06240","0,07660","0,07990","0,04990","0,06330","0,06910"
1:00,01:00 - 01:15,"0,05250","0,06230","0,07010","0,05800","0,07170","0,07410","0,04620","0,05950","0,06340"
1:15,01:15 - 01:30,"0,04970","0,05800","0,06450","0,05530","0,06660","0,06870","0,04360","0,05500","0,05820"
1:30,01:30 - 01:45,"0,04790","0,05410","0,05930","0,05360","0,06160","0,06390","0,04190","0,05050","0,05360"
1:45,01:45 - 02:00,"0,04660","0,05080","0,05490","0,05240","0,05740","0,05990","0,04080","0,04660","0,04990"
2:00,02:00 - 02:15,"0,04550","0,04840","0,05170","0,05130","0,05450","0,05700","0,04010","0,04390","0,04730"
2:15,02:15 - 02:30,"0,04450","0,04680","0,04940","0,05030","0,05260","0,05500","0,03960","0,04230","0,04550"
2:30,02:30 - 02:45,"0,04380","0,04570","0,04780","0,04920","0,05140","0,05350","0,03940","0,04140","0,04420"
2:45,02:45 - 03:00,"0,04330","0,04490","0,04660","0,04830","0,05080","0,05240","0,03910","0,04080","0,04330"
3:00,03:00 - 03:15,"0,04300","0,04440","0,04550","0,04750","0,05030","0,05150","0,03880","0,04030","0,04240"
3:15,03:15 - 03:30,"0,04300","0,04390","0,04450","0,04690","0,05000","0,05080","0,03860","0,03990","0,04150"
3:30,03:30 - 03:45,"0,04310","0,04350","0,04380","0,04650","0,04990","0,05020","0,03830","0,03950","0,04070"
3:45,03:45 - 04:00,"0,04330","0,04330","0,04330","0,04660","0,04990","0,04990","0,03830","0,03910","0,04000"
4:00,04:00 - 04:15,"0,04340","0,04310","0,04310","0,04710","0,05010","0,04990","0,03840","0,03880","0,03930"
4:15,04:15 - 04:30,"0,04370","0,04310","0,04310","0,04800","0,05040","0,05000","0,03880","0,03850","0,03880"
4:30,04:30 - 04:45,"0,04420","0,04310","0,04320","0,04930","0,05070","0,05010","0,03930","0,03830","0,03850"
4:45,04:45 - 05:00,"0,04490","0,04330","0,04330","0,05080","0,05080","0,04990","0,04000","0,03830","0,03830"
5:00,05:00 - 05:15,"0,04630","0,04360","0,04330","0,05270","0,05080","0,04950","0,04090","0,03850","0,03830"
5:15,05:15 - 05:30,"0,04890","0,04420","0,04330","0,05560","0,05090","0,04890","0,04310","0,03910","0,03840"
5:30,05:30 - 05:45,"0,05370","0,04540","0,04320","0,06050","0,05160","0,04840","0,04770","0,04030","0,03870"
5:45,05:45 - 06:00,"0,06160","0,04740","0,04330","0,06820","0,05330","0,04830","0,05580","0,04240","0,03910"
6:00,06:00 - 06:15,"0,07290","0,05050","0,04350","0,07920","0,05620","0,04870","0,06800","0,04560","0,03970"
6:15,06:15 - 06:30,"0,08630","0,05490","0,04430","0,09200","0,06040","0,04980","0,08280","0,04990","0,04040"
6:30,06:30 - 06:45,"0,10010","0,06070","0,04600","0,10470","0,06580","0,05190","0,09800","0,05530","0,04130"
6:45,06:45 - 07:00,"0,11240","0,06820","0,04910","0,11570","0,07240","0,05490","0,11150","0,06160","0,04240"
7:00,07:00 - 07:15,"0,12180","0,07750","0,05390","0,12350","0,08000","0,05920","0,12160","0,06890","0,04400"
7:15,07:15 - 07:30,"0,12850","0,08790","0,06040","0,12860","0,08850","0,06490","0,12850","0,07710","0,04660"
7:30,07:30 - 07:45,"0,13290","0,09860","0,06880","0,13200","0,09740","0,07230","0,13270","0,08610","0,05110"
7:45,07:45 - 08:00,"0,13570","0,10900","0,07910","0,13480","0,10650","0,08160","0,13480","0,09570","0,05830"
8:00,08:00 - 08:15,"0,13720","0,11840","0,09110","0,13780","0,11560","0,09290","0,13540","0,10580","0,06860"
8:15,08:15 - 08:30,"0,13770","0,12670","0,10430","0,14070","0,12440","0,10560","0,13480","0,11580","0,08130"
8:30,08:30 - 08:45,"0,13770","0,13380","0,11800","0,14320","0,13280","0,11900","0,13310","0,12490","0,09520"
8:45,08:45 - 09:00,"0,13730","0,13980","0,13150","0,14480","0,14070","0,13230","0,13070","0,13230","0,10900"
9:00,09:00 - 09:15,"0,13690","0,14470","0,14420","0,14530","0,14780","0,14480","0,12770","0,13760","0,12190"
9:15,09:15 - 09:30,"0,13640","0,14880","0,15550","0,14490","0,15400","0,15620","0,12460","0,14110","0,13370"
9:30,09:30 - 09:45,"0,13570","0,15240","0,16530","0,14380","0,15890","0,16600","0,12150","0,14330","0,14440"
9:45,09:45 - 10:00,"0,13480","0,15560","0,17310","0,14230","0,16230","0,17400","0,11900","0,14480","0,15400"
10:00,10:00 - 10:15,"0,13370","0,15890","0,17880","0,14080","0,16410","0,18000","0,11730","0,14600","0,16260"
10:15,10:15 - 10:30,"0,13240","0,16200","0,18310","0,13950","0,16470","0,18460","0,11620","0,14720","0,17050"
10:30,10:30 - 10:45,"0,13140","0,16490","0,18700","0,13850","0,16500","0,18870","0,11570","0,14840","0,17800"
10:45,10:45 - 11:00,"0,13070","0,16730","0,19140","0,13820","0,16560","0,19310","0,11570","0,14980","0,18560"
11:00,11:00 - 11:15,"0,13060","0,16920","0,19700","0,13860","0,16710","0,19830","0,11610","0,15150","0,19330"
11:15,11:15 - 11:30,"0,13150","0,17080","0,20300","0,14010","0,16940","0,20370","0,11700","0,15350","0,20060"
11:30,11:30 - 11:45,"0,13360","0,17250","0,20850","0,14260","0,17240","0,20870","0,11870","0,15600","0,20660"
11:45,11:45 - 12:00,"0,13730","0,17480","0,21220","0,14650","0,17560","0,21220","0,12150","0,15900","0,21060"
12:00,12:00 - 12:15,"0,14260","0,17770","0,21350","0,15150","0,17900","0,21370","0,12540","0,16240","0,21180"
12:15,12:15 - 12:30,"0,14820","0,18080","0,21180","0,15670","0,18190","0,21280","0,12960","0,16580","0,21020"
12:30,12:30 - 12:45,"0,15280","0,18310","0,20700","0,16070","0,18370","0,20900","0,13300","0,16840","0,20590"
12:45,12:45 - 13:00,"0,15480","0,18390","0,19890","0,16230","0,18390","0,20230","0,13480","0,16980","0,19890"
13:00,13:00 - 13:15,"0,15320","0,18270","0,18760","0,16050","0,18210","0,19240","0,13420","0,16940","0,18960"
13:15,13:15 - 13:30,"0,14890","0,17980","0,17460","0,15610","0,17870","0,18090","0,13170","0,16760","0,17870"
13:30,13:30 - 13:45,"0,14320","0,17580","0,16170","0,15020","0,17410","0,16920","0,12800","0,16480","0,16730"
13:45,13:45 - 14:00,"0,13730","0,17150","0,15060","0,14400","0,16900","0,15900","0,12400","0,16150","0,15650"
14:00,14:00 - 14:15,"0,13240","0,16720","0,14280","0,13840","0,16370","0,15140","0,12020","0,15810","0,14700"
14:15,14:15 - 14:30,"0,12840","0,16310","0,13760","0,13360","0,15890","0,14600","0,11680","0,15490","0,13890"
14:30,14:30 - 14:45,"0,12480","0,15920","0,13390","0,12940","0,15460","0,14160","0,11370","0,15180","0,13210"
14:45,14:45 - 15:00,"0,12150","0,15560","0,13070","0,12570","0,15150","0,13730","0,11070","0,14900","0,12650"
15:00,15:00 - 15:15,"0,11810","0,15230","0,12710","0,12240","0,14960","0,13240","0,10790","0,14650","0,12200"
15:15,15:15 - 15:30,"0,11480","0,14950","0,12310","0,11960","0,14860","0,12700","0,10550","0,14440","0,11810"
15:30,15:30 - 15:45,"0,11170","0,14720","0,11900","0,11740","0,14800","0,12160","0,10350","0,14270","0,11480"
15:45,15:45 - 16:00,"0,10900","0,14570","0,11490","0,11570","0,14730","0,11650","0,10240","0,14150","0,11150"
16:00,16:00 - 16:15,"0,10690","0,14500","0,11100","0,11460","0,14620","0,11220","0,10220","0,14090","0,10830"
16:15,16:15 - 16:30,"0,10570","0,14540","0,10770","0,11420","0,14500","0,10890","0,10320","0,14170","0,10590"
16:30,16:30 - 16:45,"0,10550","0,14670","0,10560","0,11460","0,14410","0,10670","0,10560","0,14490","0,10520"
16:45,16:45 - 17:00,"0,10650","0,14900","0,10490","0,11570","0,14400","0,10570","0,10990","0,15150","0,10740"
17:00,17:00 - 17:15,"0,10910","0,15230","0,10600","0,11760","0,14490","0,10610","0,11600","0,16190","0,11290"
17:15,17:15 - 17:30,"0,11310","0,15640","0,10880","0,12030","0,14690","0,10770","0,12370","0,17460","0,12090"
17:30,17:30 - 17:45,"0,11830","0,16150","0,11320","0,12390","0,15000","0,11040","0,13260","0,18740","0,13000"
17:45,17:45 - 18:00,"0,12480","0,16730","0,11900","0,12820","0,15400","0,11400","0,14230","0,19810","0,13900"
18:00,18:00 - 18:15,"0,13240","0,17370","0,12600","0,13320","0,15880","0,11830","0,15240","0,20520","0,14680"
18:15,18:15 - 18:30,"0,14060","0,18040","0,13370","0,13890","0,16400","0,12340","0,16220","0,20910","0,15350"
18:30,18:30 - 18:45,"0,14910","0,18670","0,14150","0,14510","0,16920","0,12920","0,17120","0,21110","0,15970"
18:45,18:45 - 19:00,"0,15730","0,19230","0,14900","0,15150","0,17400","0,13570","0,17890","0,21220","0,16560"
19:00,19:00 - 19:15,"0,16490","0,19650","0,15550","0,15790","0,17780","0,14280","0,18470","0,21320","0,17150"
19:15,19:15 - 19:30,"0,17110","0,19900","0,16060","0,16380","0,18050","0,14980","0,18820","0,21300","0,17640"
19:30,19:30 - 19:45,"0,17520","0,19940","0,16360","0,16830","0,18180","0,15570","0,18890","0,21040","0,17910"
19:45,19:45 - 20:00,"0,17650","0,19730","0,16400","0,17060","0,18140","0,15980","0,18640","0,20390","0,17810"
20:00,20:00 - 20:15,"0,17450","0,19240","0,16150","0,17040","0,17930","0,16140","0,18070","0,19290","0,17290"
20:15,20:15 - 20:30,"0,17050","0,18520","0,15710","0,16830","0,17570","0,16080","0,17270","0,17900","0,16470"
20:30,20:30 - 20:45,"0,16570","0,17660","0,15220","0,16530","0,17100","0,15900","0,16390","0,16440","0,15560"
20:45,20:45 - 21:00,"0,16150","0,16730","0,14820","0,16230","0,16560","0,15650","0,15560","0,15150","0,14730"
21:00,21:00 - 21:15,"0,15890","0,15790","0,14590","0,16010","0,16010","0,15390","0,14890","0,14190","0,14140"
21:15,21:15 - 21:30,"0,15720","0,14950","0,14470","0,15840","0,15510","0,15150","0,14340","0,13530","0,13720"
21:30,21:30 - 21:45,"0,15540","0,14290","0,14360","0,15680","0,15110","0,14930","0,13840","0,13100","0,13370"
21:45,21:45 - 22:00,"0,15230","0,13900","0,14150","0,15480","0,14900","0,14730","0,13320","0,12820","0,12980"
22:00,22:00 - 22:15,"0,14720","0,13830","0,13750","0,15190","0,14890","0,14540","0,12720","0,12610","0,12480"
22:15,22:15 - 22:30,"0,14030","0,13920","0,13180","0,14790","0,14960","0,14300","0,12050","0,12410","0,11860"
22:30,22:30 - 22:45,"0,13210","0,13950","0,12470","0,14250","0,14940","0,13920","0,11330","0,12160","0,11160"
22:45,22:45 - 23:00,"0,12320","0,13730","0,11650","0,13570","0,14650","0,13320","0,10570","0,11820","0,10400"
23:00,23:00 - 23:15,"0,11400","0,13110","0,10760","0,12720","0,13980","0,12440","0,09800","0,11340","0,09620"
23:15,23:15 - 23:30,"0,10480","0,12190","0,09840","0,11750","0,13030","0,11380","0,09020","0,10740","0,08840"
23:30,23:30 - 23:45,"0,09560","0,11150","0,08920","0,10710","0,11950","0,10250","0,08250","0,10080","0,08070"
23:45,23:45 - 24:00,"0,08660","0,10150","0,08070","0,09650","0,10900","0,09160","0,07490","0,09410","0,07320"
